Running task 477 with seed=53 and percentage=0.10
Epoch 0, Loss Total: 84.18795013427734, Loss Train: 131.54583740234375, Loss Test: 131.45907592773438
Epoch 100, Loss Total: 61.9319953918457, Loss Train: 48.00150680541992, Loss Test: 101.16358947753906
Epoch 200, Loss Total: 46.98650360107422, Loss Train: 23.001808166503906, Loss Test: 74.32685089111328
Epoch 300, Loss Total: 39.77128601074219, Loss Train: 12.586825370788574, Loss Test: 58.16362762451172
Epoch 400, Loss Total: 36.86922836303711, Loss Train: 7.659322738647461, Loss Test: 48.49647903442383
Epoch 500, Loss Total: 36.247772216796875, Loss Train: 5.123298645019531, Loss Test: 42.50971603393555
Epoch 600, Loss Total: 36.81690979003906, Loss Train: 3.718362331390381, Loss Test: 38.619834899902344
Epoch 700, Loss Total: 37.99055099487305, Loss Train: 2.8892529010772705, Loss Test: 35.96017837524414
Epoch 800, Loss Total: 39.44672775268555, Loss Train: 2.376157283782959, Loss Test: 34.055908203125
Epoch 900, Loss Total: 41.0048828125, Loss Train: 2.048471212387085, Loss Test: 32.641021728515625
Epoch 1000, Loss Total: 42.56221389770508, Loss Train: 1.8351869583129883, Loss Test: 31.559289932250977
Epoch 1100, Loss Total: 44.0604362487793, Loss Train: 1.6948950290679932, Loss Test: 30.71295166015625
Epoch 1200, Loss Total: 45.4677734375, Loss Train: 1.602125644683838, Loss Test: 30.03670883178711
Epoch 1300, Loss Total: 46.76900100708008, Loss Train: 1.5406107902526855, Loss Test: 29.48507308959961
Epoch 1400, Loss Total: 47.95990753173828, Loss Train: 1.499739408493042, Loss Test: 29.025453567504883
Epoch 1500, Loss Total: 49.04353713989258, Loss Train: 1.472511649131775, Loss Test: 28.634445190429688
Epoch 1600, Loss Total: 50.02762222290039, Loss Train: 1.4543170928955078, Loss Test: 28.295297622680664
Epoch 1700, Loss Total: 50.92308044433594, Loss Train: 1.4420990943908691, Loss Test: 27.996150970458984
Epoch 1800, Loss Total: 51.742156982421875, Loss Train: 1.4338934421539307, Loss Test: 27.729000091552734
Epoch 1900, Loss Total: 52.49710464477539, Loss Train: 1.4283732175827026, Loss Test: 27.48821258544922
Epoch 2000, Loss Total: 53.199745178222656, Loss Train: 1.4246662855148315, Loss Test: 27.27039909362793
Epoch 2100, Loss Total: 53.860252380371094, Loss Train: 1.422155499458313, Loss Test: 27.073089599609375
Epoch 2200, Loss Total: 54.487178802490234, Loss Train: 1.4204764366149902, Loss Test: 26.894502639770508
Epoch 2300, Loss Total: 55.0869255065918, Loss Train: 1.4193146228790283, Loss Test: 26.733186721801758
Epoch 2400, Loss Total: 55.664493560791016, Loss Train: 1.418574333190918, Loss Test: 26.58847999572754
Epoch 2500, Loss Total: 56.22317886352539, Loss Train: 1.4180699586868286, Loss Test: 26.459535598754883
Epoch 2600, Loss Total: 56.764137268066406, Loss Train: 1.4176928997039795, Loss Test: 26.344724655151367
Epoch 2700, Loss Total: 57.288631439208984, Loss Train: 1.417432188987732, Loss Test: 26.24342918395996
Epoch 2800, Loss Total: 57.79593276977539, Loss Train: 1.4172229766845703, Loss Test: 26.15458106994629
Epoch 2900, Loss Total: 58.054630279541016, Loss Train: 1.4171558618545532, Loss Test: 26.11270523071289
Epoch 3000, Loss Total: 58.18708419799805, Loss Train: 1.4171147346496582, Loss Test: 26.09208106994629
Epoch 3100, Loss Total: 58.256141662597656, Loss Train: 1.4170942306518555, Loss Test: 26.081552505493164
Epoch 3200, Loss Total: 58.293800354003906, Loss Train: 1.417083978652954, Loss Test: 26.075878143310547
Epoch 3300, Loss Total: 58.31368637084961, Loss Train: 1.4170829057693481, Loss Test: 26.07290267944336
Epoch 3400, Loss Total: 58.3242301940918, Loss Train: 1.417083740234375, Loss Test: 26.07132911682129
Epoch 3500, Loss Total: 58.32980728149414, Loss Train: 1.417082667350769, Loss Test: 26.070499420166016
Epoch 3600, Loss Total: 58.33277130126953, Loss Train: 1.4170820713043213, Loss Test: 26.070056915283203
Epoch 3700, Loss Total: 58.33432388305664, Loss Train: 1.4170819520950317, Loss Test: 26.069822311401367
Epoch 3800, Loss Total: 58.335147857666016, Loss Train: 1.4170818328857422, Loss Test: 26.0697021484375
Epoch 3900, Loss Total: 58.3355712890625, Loss Train: 1.4170818328857422, Loss Test: 26.069637298583984
Epoch 4000, Loss Total: 58.33578872680664, Loss Train: 1.4170818328857422, Loss Test: 26.06960105895996
Epoch 4100, Loss Total: 58.33588790893555, Loss Train: 1.4170818328857422, Loss Test: 26.0695858001709
Epoch 4200, Loss Total: 58.3359260559082, Loss Train: 1.4170818328857422, Loss Test: 26.069583892822266
Epoch 4300, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 4400, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 4500, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 4600, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 4700, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 4800, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 4900, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 5000, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 5100, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 5200, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 5300, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 5400, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 5500, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 5600, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 5700, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 5800, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 5900, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 6000, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 6100, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 6200, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 6300, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 6400, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 6500, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 6600, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 6700, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 6800, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 6900, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 7000, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 7100, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 7200, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 7300, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 7400, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 7500, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 7600, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 7700, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 7800, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 7900, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 8000, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 8100, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 8200, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 8300, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 8400, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 8500, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 8600, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 8700, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 8800, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 8900, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 9000, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 9100, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 9200, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 9300, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 9400, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 9500, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 9600, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 9700, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 9800, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 9900, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 10000, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 10100, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 10200, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 10300, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 10400, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 10500, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 10600, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 10700, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 10800, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 10900, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 11000, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 11100, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 11200, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 11300, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 11400, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 11500, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 11600, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 11700, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 11800, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 11900, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 12000, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 12100, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 12200, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 12300, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 12400, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 12500, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 12600, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 12700, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 12800, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 12900, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 13000, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 13100, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 13200, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 13300, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 13400, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
Epoch 13500, Loss Total: 58.3359375, Loss Train: 1.4170818328857422, Loss Test: 26.069578170776367
