Running task 131 with seed=14 and percentage=0.35
Epoch 0, Loss Total: 83.87237548828125, Loss Train: 129.40794372558594, Loss Test: 131.80348205566406
Epoch 100, Loss Total: 41.190914154052734, Loss Train: 43.69934844970703, Loss Test: 70.58159637451172
Epoch 200, Loss Total: 28.409591674804688, Loss Train: 19.876571655273438, Loss Test: 39.46250915527344
Epoch 300, Loss Total: 27.651058197021484, Loss Train: 10.794137954711914, Loss Test: 27.117197036743164
Epoch 400, Loss Total: 30.400531768798828, Loss Train: 6.679741382598877, Loss Test: 21.432954788208008
Epoch 500, Loss Total: 33.90507888793945, Loss Train: 4.621135711669922, Loss Test: 18.458662033081055
Epoch 600, Loss Total: 37.23210144042969, Loss Train: 3.513580799102783, Loss Test: 16.75935935974121
Epoch 700, Loss Total: 40.0931510925293, Loss Train: 2.885683298110962, Loss Test: 15.744990348815918
Epoch 800, Loss Total: 42.44088363647461, Loss Train: 2.516711473464966, Loss Test: 15.133543014526367
Epoch 900, Loss Total: 44.32057571411133, Loss Train: 2.29396915435791, Loss Test: 14.769355773925781
Epoch 1000, Loss Total: 45.80985641479492, Loss Train: 2.1561949253082275, Loss Test: 14.558378219604492
Epoch 1100, Loss Total: 46.99156188964844, Loss Train: 2.0689032077789307, Loss Test: 14.441461563110352
Epoch 1200, Loss Total: 47.94078826904297, Loss Train: 2.0123910903930664, Loss Test: 14.381484031677246
Epoch 1300, Loss Total: 48.719276428222656, Loss Train: 1.9751524925231934, Loss Test: 14.35499095916748
Epoch 1400, Loss Total: 49.37433624267578, Loss Train: 1.9503726959228516, Loss Test: 14.347365379333496
Epoch 1500, Loss Total: 49.94015884399414, Loss Train: 1.933802843093872, Loss Test: 14.349479675292969
Epoch 1600, Loss Total: 50.43996810913086, Loss Train: 1.9227168560028076, Loss Test: 14.355733871459961
Epoch 1700, Loss Total: 50.88966369628906, Loss Train: 1.9153265953063965, Loss Test: 14.36273193359375
Epoch 1800, Loss Total: 51.29914474487305, Loss Train: 1.9104011058807373, Loss Test: 14.368704795837402
Epoch 1900, Loss Total: 51.674964904785156, Loss Train: 1.9071170091629028, Loss Test: 14.37279224395752
Epoch 2000, Loss Total: 52.021724700927734, Loss Train: 1.904913306236267, Loss Test: 14.374735832214355
Epoch 2100, Loss Total: 52.34246826171875, Loss Train: 1.903446912765503, Loss Test: 14.374835968017578
Epoch 2200, Loss Total: 52.63948059082031, Loss Train: 1.9024544954299927, Loss Test: 14.37333869934082
Epoch 2300, Loss Total: 52.914913177490234, Loss Train: 1.9017488956451416, Loss Test: 14.37075424194336
Epoch 2400, Loss Total: 53.170406341552734, Loss Train: 1.9012850522994995, Loss Test: 14.36751651763916
Epoch 2500, Loss Total: 53.40745544433594, Loss Train: 1.9009863138198853, Loss Test: 14.363837242126465
Epoch 2600, Loss Total: 53.554779052734375, Loss Train: 1.90082848072052, Loss Test: 14.361424446105957
Epoch 2700, Loss Total: 53.664161682128906, Loss Train: 1.9007335901260376, Loss Test: 14.359554290771484
Epoch 2800, Loss Total: 53.73212432861328, Loss Train: 1.9006826877593994, Loss Test: 14.358378410339355
Epoch 2900, Loss Total: 53.76702880859375, Loss Train: 1.9006587266921997, Loss Test: 14.357771873474121
Epoch 3000, Loss Total: 53.78522872924805, Loss Train: 1.9006458520889282, Loss Test: 14.35745620727539
Epoch 3100, Loss Total: 53.79480743408203, Loss Train: 1.9006390571594238, Loss Test: 14.357295036315918
Epoch 3200, Loss Total: 53.79986572265625, Loss Train: 1.9006356000900269, Loss Test: 14.35721206665039
Epoch 3300, Loss Total: 53.80254364013672, Loss Train: 1.9006339311599731, Loss Test: 14.357168197631836
Epoch 3400, Loss Total: 53.803958892822266, Loss Train: 1.9006333351135254, Loss Test: 14.35714054107666
Epoch 3500, Loss Total: 53.80470657348633, Loss Train: 1.9006333351135254, Loss Test: 14.357123374938965
Epoch 3600, Loss Total: 53.80509567260742, Loss Train: 1.9006333351135254, Loss Test: 14.357112884521484
Epoch 3700, Loss Total: 53.80530548095703, Loss Train: 1.9006333351135254, Loss Test: 14.357109069824219
Epoch 3800, Loss Total: 53.80540084838867, Loss Train: 1.9006333351135254, Loss Test: 14.357105255126953
