Running task 135 with seed=15 and percentage=0.10
Epoch 0, Loss Total: 84.27688598632812, Loss Train: 128.6517333984375, Loss Test: 131.9407196044922
Epoch 100, Loss Total: 56.37004470825195, Loss Train: 39.28326416015625, Loss Test: 89.1858901977539
Epoch 200, Loss Total: 45.62407684326172, Loss Train: 16.88797950744629, Loss Test: 58.18625259399414
Epoch 300, Loss Total: 46.4078369140625, Loss Train: 8.090356826782227, Loss Test: 46.68830490112305
Epoch 400, Loss Total: 49.61018371582031, Loss Train: 4.037246227264404, Loss Test: 42.55736541748047
Epoch 500, Loss Total: 52.824424743652344, Loss Train: 2.056835889816284, Loss Test: 41.109317779541016
Epoch 600, Loss Total: 55.5037841796875, Loss Train: 1.0521974563598633, Loss Test: 40.64519119262695
Epoch 700, Loss Total: 57.60527801513672, Loss Train: 0.5315743088722229, Loss Test: 40.54167175292969
Epoch 800, Loss Total: 59.221763610839844, Loss Train: 0.26178041100502014, Loss Test: 40.572383880615234
Epoch 900, Loss Total: 60.459007263183594, Loss Train: 0.12460778653621674, Loss Test: 40.651729583740234
Epoch 1000, Loss Total: 61.403533935546875, Loss Train: 0.05705052241683006, Loss Test: 40.74386978149414
Epoch 1100, Loss Total: 62.12199020385742, Loss Train: 0.02505624108016491, Loss Test: 40.83285140991211
Epoch 1200, Loss Total: 62.66630172729492, Loss Train: 0.010543400421738625, Loss Test: 40.91215896606445
Epoch 1300, Loss Total: 63.07756805419922, Loss Train: 0.004253144841641188, Loss Test: 40.980079650878906
Epoch 1400, Loss Total: 63.388214111328125, Loss Train: 0.0016528783598914742, Loss Test: 41.03718948364258
Epoch 1500, Loss Total: 63.62351608276367, Loss Train: 0.0006295662024058402, Loss Test: 41.08494186401367
Epoch 1600, Loss Total: 63.80274963378906, Loss Train: 0.00024665251839905977, Loss Test: 41.12495040893555
Epoch 1700, Loss Total: 63.940372467041016, Loss Train: 0.00011043504491681233, Loss Test: 41.15867233276367
Epoch 1800, Loss Total: 64.04706573486328, Loss Train: 6.426053732866421e-05, Loss Test: 41.18730926513672
Epoch 1900, Loss Total: 64.13063049316406, Loss Train: 4.924233871861361e-05, Loss Test: 41.2118034362793
Epoch 2000, Loss Total: 64.19677734375, Loss Train: 4.4520231313072145e-05, Loss Test: 41.23289489746094
Epoch 2100, Loss Total: 64.24964904785156, Loss Train: 4.298792555346154e-05, Loss Test: 41.25114440917969
Epoch 2200, Loss Total: 64.29229736328125, Loss Train: 4.251241989550181e-05, Loss Test: 41.26698684692383
Epoch 2300, Loss Total: 64.32698059082031, Loss Train: 4.236914901412092e-05, Loss Test: 41.28077697753906
Epoch 2400, Loss Total: 64.35540771484375, Loss Train: 4.2311614379286766e-05, Loss Test: 41.29280471801758
Epoch 2500, Loss Total: 64.37885284423828, Loss Train: 4.225934753776528e-05, Loss Test: 41.30330276489258
Epoch 2600, Loss Total: 64.39739990234375, Loss Train: 4.228753095958382e-05, Loss Test: 41.312034606933594
Epoch 2700, Loss Total: 64.40548706054688, Loss Train: 4.2282907088520005e-05, Loss Test: 41.31598663330078
Epoch 2800, Loss Total: 64.4092788696289, Loss Train: 4.228291436447762e-05, Loss Test: 41.317874908447266
Epoch 2900, Loss Total: 64.4111328125, Loss Train: 4.228291800245643e-05, Loss Test: 41.31880569458008
Epoch 3000, Loss Total: 64.41204071044922, Loss Train: 4.228291436447762e-05, Loss Test: 41.319271087646484
Epoch 3100, Loss Total: 64.41249084472656, Loss Train: 4.228291436447762e-05, Loss Test: 41.31950378417969
Epoch 3200, Loss Total: 64.41271209716797, Loss Train: 4.228291436447762e-05, Loss Test: 41.31962203979492
Epoch 3300, Loss Total: 64.4128189086914, Loss Train: 4.228291436447762e-05, Loss Test: 41.31968688964844
Epoch 3400, Loss Total: 64.4128646850586, Loss Train: 4.228291436447762e-05, Loss Test: 41.31970977783203
Epoch 3500, Loss Total: 64.41288757324219, Loss Train: 4.228291436447762e-05, Loss Test: 41.31972885131836
Epoch 3600, Loss Total: 64.41289520263672, Loss Train: 4.228291436447762e-05, Loss Test: 41.319732666015625
Epoch 3700, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 3800, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 3900, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 4000, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 4100, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 4200, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 4300, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 4400, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 4500, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 4600, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 4700, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 4800, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 4900, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 5000, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 5100, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 5200, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 5300, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 5400, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 5500, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 5600, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 5700, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 5800, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 5900, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 6000, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 6100, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 6200, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 6300, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 6400, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 6500, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 6600, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 6700, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 6800, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 6900, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 7000, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 7100, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 7200, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 7300, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 7400, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 7500, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 7600, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 7700, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 7800, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 7900, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 8000, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 8100, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 8200, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 8300, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 8400, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 8500, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 8600, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 8700, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 8800, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 8900, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 9000, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 9100, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 9200, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 9300, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 9400, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 9500, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 9600, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 9700, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 9800, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 9900, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 10000, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 10100, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 10200, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 10300, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 10400, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 10500, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 10600, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 10700, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 10800, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 10900, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 11000, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 11100, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 11200, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 11300, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 11400, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 11500, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 11600, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
Epoch 11700, Loss Total: 64.41290283203125, Loss Train: 4.228291436447762e-05, Loss Test: 41.31973648071289
