Running task 198 with seed=22 and percentage=0.10
Epoch 0, Loss Total: 84.40608978271484, Loss Train: 139.787841796875, Loss Test: 130.9058837890625
Epoch 100, Loss Total: 56.55680847167969, Loss Train: 47.672607421875, Loss Test: 88.59153747558594
Epoch 200, Loss Total: 45.0538330078125, Loss Train: 23.44329261779785, Loss Test: 56.41655731201172
Epoch 300, Loss Total: 45.57534408569336, Loss Train: 13.308890342712402, Loss Test: 44.193050384521484
Epoch 400, Loss Total: 48.82661819458008, Loss Train: 8.075569152832031, Loss Test: 39.80320739746094
Epoch 500, Loss Total: 52.21327209472656, Loss Train: 5.084278583526611, Loss Test: 38.325477600097656
Epoch 600, Loss Total: 55.146976470947266, Loss Train: 3.26743745803833, Loss Test: 37.962528228759766
Epoch 700, Loss Total: 57.57896041870117, Loss Train: 2.122143030166626, Loss Test: 38.06364059448242
Epoch 800, Loss Total: 59.59003448486328, Loss Train: 1.3843499422073364, Loss Test: 38.38713836669922
Epoch 900, Loss Total: 61.270389556884766, Loss Train: 0.9031458497047424, Loss Test: 38.829795837402344
Epoch 1000, Loss Total: 62.690494537353516, Loss Train: 0.5870817303657532, Loss Test: 39.334510803222656
Epoch 1100, Loss Total: 63.8995246887207, Loss Train: 0.378820538520813, Loss Test: 39.86165237426758
Epoch 1200, Loss Total: 64.93061828613281, Loss Train: 0.24168825149536133, Loss Test: 40.3809700012207
Epoch 1300, Loss Total: 65.80663299560547, Loss Train: 0.15185882151126862, Loss Test: 40.869781494140625
Epoch 1400, Loss Total: 66.54497528076172, Loss Train: 0.09360899776220322, Loss Test: 41.31254959106445
Epoch 1500, Loss Total: 67.1606216430664, Loss Train: 0.05640818923711777, Loss Test: 41.70048522949219
Epoch 1600, Loss Total: 67.66780090332031, Loss Train: 0.03312339261174202, Loss Test: 42.030609130859375
Epoch 1700, Loss Total: 68.08059692382812, Loss Train: 0.018901921808719635, Loss Test: 42.304500579833984
Epoch 1800, Loss Total: 68.41268920898438, Loss Train: 0.010460156947374344, Loss Test: 42.52680969238281
Epoch 1900, Loss Total: 68.67713165283203, Loss Train: 0.0056064678356051445, Loss Test: 42.70391082763672
Epoch 2000, Loss Total: 68.88584899902344, Loss Train: 0.00291021098382771, Loss Test: 42.842811584472656
Epoch 2100, Loss Total: 69.04937744140625, Loss Train: 0.001466470886953175, Loss Test: 42.95034408569336
Epoch 2200, Loss Total: 69.17677307128906, Loss Train: 0.0007220741827040911, Loss Test: 43.032711029052734
Epoch 2300, Loss Total: 69.27555847167969, Loss Train: 0.0003528264642227441, Loss Test: 43.09524917602539
Epoch 2400, Loss Total: 69.35189819335938, Loss Train: 0.00017664166807662696, Loss Test: 43.14238357543945
Epoch 2500, Loss Total: 69.41075134277344, Loss Train: 9.515933925285935e-05, Loss Test: 43.177669525146484
Epoch 2600, Loss Total: 69.4560317993164, Loss Train: 5.874465932720341e-05, Loss Test: 43.20391845703125
Epoch 2700, Loss Total: 69.49079895019531, Loss Train: 4.31034313805867e-05, Loss Test: 43.223289489746094
Epoch 2800, Loss Total: 69.51746368408203, Loss Train: 3.5799686884274706e-05, Loss Test: 43.23747634887695
Epoch 2900, Loss Total: 69.53789520263672, Loss Train: 3.2723197364248335e-05, Loss Test: 43.24775695800781
Epoch 3000, Loss Total: 69.55351257324219, Loss Train: 3.143358480883762e-05, Loss Test: 43.25509262084961
Epoch 3100, Loss Total: 69.5654525756836, Loss Train: 3.066417048103176e-05, Loss Test: 43.26024627685547
Epoch 3200, Loss Total: 69.57455444335938, Loss Train: 3.0336024792632088e-05, Loss Test: 43.26374435424805
Epoch 3300, Loss Total: 69.58147430419922, Loss Train: 3.0103192329988815e-05, Loss Test: 43.266029357910156
Epoch 3400, Loss Total: 69.58642578125, Loss Train: 3.0098961360636167e-05, Loss Test: 43.267337799072266
Epoch 3500, Loss Total: 69.58843231201172, Loss Train: 3.0086350307101384e-05, Loss Test: 43.26774215698242
