Running task 683 with seed=75 and percentage=0.50
Epoch 0, Loss Total: 78.5912857055664, Loss Train: 112.58971405029297, Loss Test: 133.2303009033203
Epoch 100, Loss Total: 52.717288970947266, Loss Train: 0.11729756742715836, Loss Test: 16.030620574951172
Epoch 200, Loss Total: 53.48977279663086, Loss Train: 0.0006415257812477648, Loss Test: 15.955788612365723
Epoch 300, Loss Total: 53.598480224609375, Loss Train: 1.4467564142250922e-05, Loss Test: 15.959501266479492
Epoch 400, Loss Total: 53.61526107788086, Loss Train: 1.3979717550682835e-05, Loss Test: 15.959712028503418
Epoch 500, Loss Total: 53.617313385009766, Loss Train: 1.397977666783845e-05, Loss Test: 15.959735870361328
Epoch 600, Loss Total: 53.61753463745117, Loss Train: 1.3979770301375538e-05, Loss Test: 15.959738731384277
Epoch 700, Loss Total: 53.61758804321289, Loss Train: 1.3979772120364942e-05, Loss Test: 15.959738731384277
Epoch 800, Loss Total: 53.61760711669922, Loss Train: 1.397977121087024e-05, Loss Test: 15.959738731384277
Epoch 900, Loss Total: 53.61762237548828, Loss Train: 1.3979772120364942e-05, Loss Test: 15.959738731384277
Epoch 1000, Loss Total: 53.61762237548828, Loss Train: 1.397977121087024e-05, Loss Test: 15.959738731384277
Epoch 1100, Loss Total: 53.61762619018555, Loss Train: 1.397977121087024e-05, Loss Test: 15.959738731384277
Epoch 1200, Loss Total: 53.61762619018555, Loss Train: 1.397977121087024e-05, Loss Test: 15.959738731384277
Epoch 1300, Loss Total: 53.61762619018555, Loss Train: 1.397977121087024e-05, Loss Test: 15.959738731384277
Epoch 1400, Loss Total: 53.61762619018555, Loss Train: 1.397977121087024e-05, Loss Test: 15.959738731384277
Epoch 1500, Loss Total: 53.61762619018555, Loss Train: 1.397977121087024e-05, Loss Test: 15.959738731384277
Epoch 1600, Loss Total: 53.61762619018555, Loss Train: 1.397977121087024e-05, Loss Test: 15.959738731384277
Epoch 1700, Loss Total: 53.61762619018555, Loss Train: 1.397977121087024e-05, Loss Test: 15.959738731384277
Epoch 1800, Loss Total: 53.61762619018555, Loss Train: 1.397977121087024e-05, Loss Test: 15.959738731384277
Epoch 1900, Loss Total: 53.61762619018555, Loss Train: 1.397977121087024e-05, Loss Test: 15.959738731384277
Epoch 2000, Loss Total: 53.61762619018555, Loss Train: 1.397977121087024e-05, Loss Test: 15.959738731384277
