Running task 168 with seed=18 and percentage=0.40
Epoch 0, Loss Total: 84.03221130371094, Loss Train: 128.91299438476562, Loss Test: 132.7591094970703
Epoch 100, Loss Total: 41.62600326538086, Loss Train: 39.7807731628418, Loss Test: 61.98393249511719
Epoch 200, Loss Total: 40.41400146484375, Loss Train: 17.68708038330078, Loss Test: 38.242706298828125
Epoch 300, Loss Total: 43.86820983886719, Loss Train: 9.206904411315918, Loss Test: 31.839025497436523
Epoch 400, Loss Total: 46.6484375, Loss Train: 5.2571234703063965, Loss Test: 29.549306869506836
Epoch 500, Loss Total: 48.62648391723633, Loss Train: 3.202273368835449, Loss Test: 28.536191940307617
Epoch 600, Loss Total: 50.02552795410156, Loss Train: 2.034493923187256, Loss Test: 28.017255783081055
Epoch 700, Loss Total: 51.037574768066406, Loss Train: 1.324700951576233, Loss Test: 27.730937957763672
Epoch 800, Loss Total: 51.794158935546875, Loss Train: 0.8731168508529663, Loss Test: 27.57179832458496
Epoch 900, Loss Total: 52.37718200683594, Loss Train: 0.5774533748626709, Loss Test: 27.488256454467773
Epoch 1000, Loss Total: 52.83635711669922, Loss Train: 0.38069772720336914, Loss Test: 27.451194763183594
Epoch 1100, Loss Total: 53.20273208618164, Loss Train: 0.24885696172714233, Loss Test: 27.442779541015625
Epoch 1200, Loss Total: 53.49687194824219, Loss Train: 0.16057687997817993, Loss Test: 27.451549530029297
Epoch 1300, Loss Total: 53.733314514160156, Loss Train: 0.10188933461904526, Loss Test: 27.46993637084961
Epoch 1400, Loss Total: 53.922935485839844, Loss Train: 0.06336987763643265, Loss Test: 27.492881774902344
Epoch 1500, Loss Total: 54.0742301940918, Loss Train: 0.038526590913534164, Loss Test: 27.517030715942383
Epoch 1600, Loss Total: 54.194061279296875, Loss Train: 0.022843627259135246, Loss Test: 27.540245056152344
Epoch 1700, Loss Total: 54.288082122802734, Loss Train: 0.013185413554310799, Loss Test: 27.561275482177734
Epoch 1800, Loss Total: 54.36105728149414, Loss Train: 0.007399032358080149, Loss Test: 27.57948875427246
Epoch 1900, Loss Total: 54.417015075683594, Loss Train: 0.00403484096750617, Loss Test: 27.59470558166504
Epoch 2000, Loss Total: 54.45932388305664, Loss Train: 0.0021403541322797537, Loss Test: 27.607027053833008
Epoch 2100, Loss Total: 54.49085998535156, Loss Train: 0.001109502394683659, Loss Test: 27.616724014282227
Epoch 2200, Loss Total: 54.51399230957031, Loss Train: 0.0005682108458131552, Loss Test: 27.624162673950195
Epoch 2300, Loss Total: 54.53068161010742, Loss Train: 0.00029454389004968107, Loss Test: 27.62972068786621
Epoch 2400, Loss Total: 54.54251480102539, Loss Train: 0.0001611899642739445, Loss Test: 27.63377571105957
Epoch 2500, Loss Total: 54.55076599121094, Loss Train: 9.879577555693686e-05, Loss Test: 27.636661529541016
Epoch 2600, Loss Total: 54.556392669677734, Loss Train: 7.06726495991461e-05, Loss Test: 27.638668060302734
Epoch 2700, Loss Total: 54.56016540527344, Loss Train: 5.833017348777503e-05, Loss Test: 27.640026092529297
Epoch 2800, Loss Total: 54.562660217285156, Loss Train: 5.308324034558609e-05, Loss Test: 27.640926361083984
Epoch 2900, Loss Total: 54.56425857543945, Loss Train: 5.092872743261978e-05, Loss Test: 27.641504287719727
Epoch 3000, Loss Total: 54.56528854370117, Loss Train: 5.001873432775028e-05, Loss Test: 27.64186668395996
Epoch 3100, Loss Total: 54.565921783447266, Loss Train: 4.959181751473807e-05, Loss Test: 27.64208984375
Epoch 3200, Loss Total: 54.566307067871094, Loss Train: 4.954040196025744e-05, Loss Test: 27.642223358154297
Epoch 3300, Loss Total: 54.56654357910156, Loss Train: 4.9362170102540404e-05, Loss Test: 27.64229965209961
Epoch 3400, Loss Total: 54.566654205322266, Loss Train: 4.929444185108878e-05, Loss Test: 27.642333984375
Epoch 3500, Loss Total: 54.56668472290039, Loss Train: 4.928511043544859e-05, Loss Test: 27.642345428466797
Epoch 3600, Loss Total: 54.56669616699219, Loss Train: 4.928481939714402e-05, Loss Test: 27.642345428466797
Epoch 3700, Loss Total: 54.56669616699219, Loss Train: 4.928481939714402e-05, Loss Test: 27.642345428466797
Epoch 3800, Loss Total: 54.56669616699219, Loss Train: 4.928481939714402e-05, Loss Test: 27.642345428466797
Epoch 3900, Loss Total: 54.56669616699219, Loss Train: 4.928481939714402e-05, Loss Test: 27.642345428466797
Epoch 4000, Loss Total: 54.56669616699219, Loss Train: 4.928481939714402e-05, Loss Test: 27.642345428466797
Epoch 4100, Loss Total: 54.56669616699219, Loss Train: 4.928481939714402e-05, Loss Test: 27.642345428466797
