Running task 481 with seed=53 and percentage=0.30
Epoch 0, Loss Total: 80.75508117675781, Loss Train: 120.66188049316406, Loss Test: 128.7246551513672
Epoch 100, Loss Total: 54.40092849731445, Loss Train: 0.1241883710026741, Loss Test: 18.1787166595459
Epoch 200, Loss Total: 55.825538635253906, Loss Train: 0.0001390242832712829, Loss Test: 18.042724609375
Epoch 300, Loss Total: 56.08762741088867, Loss Train: 2.079443947877735e-05, Loss Test: 18.0449161529541
Epoch 400, Loss Total: 56.168514251708984, Loss Train: 2.083630533888936e-05, Loss Test: 18.048057556152344
Epoch 500, Loss Total: 56.18464279174805, Loss Train: 2.0836327166762203e-05, Loss Test: 18.04874610900879
Epoch 600, Loss Total: 56.18990707397461, Loss Train: 2.0836316252825782e-05, Loss Test: 18.048974990844727
Epoch 700, Loss Total: 56.19206619262695, Loss Train: 2.0836323528783396e-05, Loss Test: 18.049070358276367
Epoch 800, Loss Total: 56.19305419921875, Loss Train: 2.083631989080459e-05, Loss Test: 18.049114227294922
Epoch 900, Loss Total: 56.19353103637695, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04913330078125
Epoch 1000, Loss Total: 56.193782806396484, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04914665222168
Epoch 1100, Loss Total: 56.193904876708984, Loss Train: 2.0836318071815185e-05, Loss Test: 18.049148559570312
Epoch 1200, Loss Total: 56.193965911865234, Loss Train: 2.0836318071815185e-05, Loss Test: 18.049152374267578
Epoch 1300, Loss Total: 56.19399642944336, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04915428161621
Epoch 1400, Loss Total: 56.19401168823242, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04915428161621
Epoch 1500, Loss Total: 56.19401168823242, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04915428161621
Epoch 1600, Loss Total: 56.19401931762695, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04915428161621
Epoch 1700, Loss Total: 56.19401931762695, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04915428161621
Epoch 1800, Loss Total: 56.19401931762695, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04915428161621
Epoch 1900, Loss Total: 56.19401931762695, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04915428161621
Epoch 2000, Loss Total: 56.19401931762695, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04915428161621
Epoch 2100, Loss Total: 56.19401931762695, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04915428161621
Epoch 2200, Loss Total: 56.19401931762695, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04915428161621
Epoch 2300, Loss Total: 56.19401931762695, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04915428161621
Epoch 2400, Loss Total: 56.19401931762695, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04915428161621
Epoch 2500, Loss Total: 56.19401931762695, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04915428161621
Epoch 2600, Loss Total: 56.19401931762695, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04915428161621
Epoch 2700, Loss Total: 56.19401931762695, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04915428161621
Epoch 2800, Loss Total: 56.19401931762695, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04915428161621
Epoch 2900, Loss Total: 56.19401931762695, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04915428161621
Epoch 3000, Loss Total: 56.19401931762695, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04915428161621
Epoch 3100, Loss Total: 56.19401931762695, Loss Train: 2.0836318071815185e-05, Loss Test: 18.04915428161621
