Running task 814 with seed=90 and percentage=0.30
Epoch 0, Loss Total: 83.95067596435547, Loss Train: 138.87640380859375, Loss Test: 127.76165771484375
Epoch 100, Loss Total: 43.71381378173828, Loss Train: 46.93564224243164, Loss Test: 62.801414489746094
Epoch 200, Loss Total: 40.67578887939453, Loss Train: 22.598596572875977, Loss Test: 37.61690139770508
Epoch 300, Loss Total: 44.00912857055664, Loss Train: 12.386499404907227, Loss Test: 30.880144119262695
Epoch 400, Loss Total: 47.10036087036133, Loss Train: 7.21108865737915, Loss Test: 28.795486450195312
Epoch 500, Loss Total: 49.45709228515625, Loss Train: 4.340656757354736, Loss Test: 28.140806198120117
Epoch 600, Loss Total: 51.21800994873047, Loss Train: 2.6570053100585938, Loss Test: 27.994543075561523
Epoch 700, Loss Total: 52.54290008544922, Loss Train: 1.636403203010559, Loss Test: 28.04169273376465
Epoch 800, Loss Total: 53.54825973510742, Loss Train: 1.0078731775283813, Loss Test: 28.157997131347656
Epoch 900, Loss Total: 54.3134765625, Loss Train: 0.6187053918838501, Loss Test: 28.289459228515625
Epoch 1000, Loss Total: 54.89375686645508, Loss Train: 0.3777068853378296, Loss Test: 28.411846160888672
Epoch 1100, Loss Total: 55.32989501953125, Loss Train: 0.2288219928741455, Loss Test: 28.515316009521484
Epoch 1200, Loss Total: 55.65391540527344, Loss Train: 0.1372324526309967, Loss Test: 28.597517013549805
Epoch 1300, Loss Total: 55.891746520996094, Loss Train: 0.08125121146440506, Loss Test: 28.659910202026367
Epoch 1400, Loss Total: 56.06438064575195, Loss Train: 0.04735121503472328, Loss Test: 28.705604553222656
Epoch 1500, Loss Total: 56.188533782958984, Loss Train: 0.02708303928375244, Loss Test: 28.738109588623047
Epoch 1600, Loss Total: 56.277198791503906, Loss Train: 0.01516320277005434, Loss Test: 28.760696411132812
Epoch 1700, Loss Total: 56.340213775634766, Loss Train: 0.00829299446195364, Loss Test: 28.776084899902344
Epoch 1800, Loss Total: 56.38487243652344, Loss Train: 0.0044258576817810535, Loss Test: 28.786428451538086
Epoch 1900, Loss Total: 56.41649627685547, Loss Train: 0.0023060489911586046, Loss Test: 28.793317794799805
Epoch 2000, Loss Total: 56.43888854980469, Loss Train: 0.001177885103970766, Loss Test: 28.797880172729492
Epoch 2100, Loss Total: 56.45475387573242, Loss Train: 0.0005959799163974822, Loss Test: 28.8009033203125
Epoch 2200, Loss Total: 56.466007232666016, Loss Train: 0.0003056099230889231, Loss Test: 28.802921295166016
Epoch 2300, Loss Total: 56.4739990234375, Loss Train: 0.00016553603927604854, Loss Test: 28.804283142089844
Epoch 2400, Loss Total: 56.479679107666016, Loss Train: 0.00010024496441474184, Loss Test: 28.80521011352539
Epoch 2500, Loss Total: 56.483726501464844, Loss Train: 7.076814654283226e-05, Loss Test: 28.80585289001465
Epoch 2600, Loss Total: 56.486595153808594, Loss Train: 5.783242886536755e-05, Loss Test: 28.806297302246094
Epoch 2700, Loss Total: 56.488643646240234, Loss Train: 5.229499947745353e-05, Loss Test: 28.806612014770508
Epoch 2800, Loss Total: 56.49010467529297, Loss Train: 4.997356882086024e-05, Loss Test: 28.806835174560547
Epoch 2900, Loss Total: 56.49114227294922, Loss Train: 4.8890731704887e-05, Loss Test: 28.806991577148438
