Running task 670 with seed=74 and percentage=0.30
Epoch 0, Loss Total: 84.03099060058594, Loss Train: 130.71372985839844, Loss Test: 131.41650390625
Epoch 100, Loss Total: 43.60042953491211, Loss Train: 41.60356140136719, Loss Test: 65.3660888671875
Epoch 200, Loss Total: 40.39541244506836, Loss Train: 19.32335090637207, Loss Test: 39.28212356567383
Epoch 300, Loss Total: 43.885929107666016, Loss Train: 10.391024589538574, Loss Test: 31.998870849609375
Epoch 400, Loss Total: 47.24415588378906, Loss Train: 5.964737892150879, Loss Test: 29.679344177246094
Epoch 500, Loss Total: 49.83118438720703, Loss Train: 3.5433011054992676, Loss Test: 28.93758201599121
Epoch 600, Loss Total: 51.757320404052734, Loss Train: 2.13952374458313, Loss Test: 28.755382537841797
Epoch 700, Loss Total: 53.191837310791016, Loss Train: 1.2986814975738525, Loss Test: 28.778409957885742
Epoch 800, Loss Total: 54.263919830322266, Loss Train: 0.7879168391227722, Loss Test: 28.868579864501953
Epoch 900, Loss Total: 55.06251907348633, Loss Train: 0.4767615497112274, Loss Test: 28.968280792236328
Epoch 1000, Loss Total: 55.651100158691406, Loss Train: 0.2875232696533203, Loss Test: 29.054723739624023
Epoch 1100, Loss Total: 56.07840347290039, Loss Train: 0.17268748581409454, Loss Test: 29.121524810791016
Epoch 1200, Loss Total: 56.38362121582031, Loss Train: 0.10310769826173782, Loss Test: 29.16968536376953
Epoch 1300, Loss Total: 56.598388671875, Loss Train: 0.06102212890982628, Loss Test: 29.202850341796875
Epoch 1400, Loss Total: 56.74761962890625, Loss Train: 0.03566206991672516, Loss Test: 29.22500991821289
Epoch 1500, Loss Total: 56.85036849975586, Loss Train: 0.020496459677815437, Loss Test: 29.239545822143555
Epoch 1600, Loss Total: 56.920738220214844, Loss Train: 0.011541576124727726, Loss Test: 29.249000549316406
Epoch 1700, Loss Total: 56.96883010864258, Loss Train: 0.006348732393234968, Loss Test: 29.255144119262695
Epoch 1800, Loss Total: 57.001747131347656, Loss Train: 0.003406151197850704, Loss Test: 29.25916290283203
Epoch 1900, Loss Total: 57.02434158325195, Loss Train: 0.0017836898332461715, Loss Test: 29.261823654174805
Epoch 2000, Loss Total: 57.03993225097656, Loss Train: 0.0009165065130218863, Loss Test: 29.26361656188965
Epoch 2100, Loss Total: 57.05073547363281, Loss Train: 0.0004681482387240976, Loss Test: 29.264850616455078
Epoch 2200, Loss Total: 57.05826187133789, Loss Train: 0.0002443689154461026, Loss Test: 29.26572036743164
Epoch 2300, Loss Total: 57.063533782958984, Loss Train: 0.00013656930241268128, Loss Test: 29.266342163085938
Epoch 2400, Loss Total: 57.06721878051758, Loss Train: 8.636705751996487e-05, Loss Test: 29.266801834106445
Epoch 2500, Loss Total: 57.06980895996094, Loss Train: 6.375883094733581e-05, Loss Test: 29.267139434814453
Epoch 2600, Loss Total: 57.07162857055664, Loss Train: 5.379998401622288e-05, Loss Test: 29.267396926879883
Epoch 2700, Loss Total: 57.072898864746094, Loss Train: 4.948837522533722e-05, Loss Test: 29.2675838470459
Epoch 2800, Loss Total: 57.07380294799805, Loss Train: 4.759590592584573e-05, Loss Test: 29.267728805541992
Epoch 2900, Loss Total: 57.074432373046875, Loss Train: 4.675514719565399e-05, Loss Test: 29.267837524414062
Epoch 3000, Loss Total: 57.07487106323242, Loss Train: 4.640250699594617e-05, Loss Test: 29.267919540405273
Epoch 3100, Loss Total: 57.075191497802734, Loss Train: 4.621298285201192e-05, Loss Test: 29.26797866821289
Epoch 3200, Loss Total: 57.07540512084961, Loss Train: 4.609959069057368e-05, Loss Test: 29.26801872253418
Epoch 3300, Loss Total: 57.0755615234375, Loss Train: 4.610473843058571e-05, Loss Test: 29.26805305480957
Epoch 3400, Loss Total: 57.07563781738281, Loss Train: 4.603296838467941e-05, Loss Test: 29.268070220947266
Epoch 3500, Loss Total: 57.07566833496094, Loss Train: 4.6032993850531057e-05, Loss Test: 29.268077850341797
Epoch 3600, Loss Total: 57.075679779052734, Loss Train: 4.6032993850531057e-05, Loss Test: 29.26807975769043
Epoch 3700, Loss Total: 57.075679779052734, Loss Train: 4.6032993850531057e-05, Loss Test: 29.26807975769043
Epoch 3800, Loss Total: 57.075679779052734, Loss Train: 4.6032993850531057e-05, Loss Test: 29.26807975769043
Epoch 3900, Loss Total: 57.075679779052734, Loss Train: 4.603299021255225e-05, Loss Test: 29.26807975769043
Epoch 4000, Loss Total: 57.075679779052734, Loss Train: 4.603299021255225e-05, Loss Test: 29.26807975769043
Epoch 4100, Loss Total: 57.075679779052734, Loss Train: 4.603299021255225e-05, Loss Test: 29.26807975769043
Epoch 4200, Loss Total: 57.075679779052734, Loss Train: 4.603299021255225e-05, Loss Test: 29.26807975769043
Epoch 4300, Loss Total: 57.075679779052734, Loss Train: 4.603299021255225e-05, Loss Test: 29.26807975769043
Epoch 4400, Loss Total: 57.075679779052734, Loss Train: 4.603299021255225e-05, Loss Test: 29.26807975769043
Epoch 4500, Loss Total: 57.075679779052734, Loss Train: 4.603299021255225e-05, Loss Test: 29.26807975769043
Epoch 4600, Loss Total: 57.075679779052734, Loss Train: 4.603299021255225e-05, Loss Test: 29.26807975769043
Epoch 4700, Loss Total: 57.075679779052734, Loss Train: 4.603299021255225e-05, Loss Test: 29.26807975769043
Epoch 4800, Loss Total: 57.075679779052734, Loss Train: 4.603299021255225e-05, Loss Test: 29.26807975769043
