Running task 344 with seed=38 and percentage=0.20
Epoch 0, Loss Total: 81.78179931640625, Loss Train: 108.48493957519531, Loss Test: 132.77005004882812
Epoch 100, Loss Total: 55.55097961425781, Loss Train: 0.008069667965173721, Loss Test: 22.365034103393555
Epoch 200, Loss Total: 56.15433883666992, Loss Train: 2.7323523681843653e-05, Loss Test: 22.239126205444336
Epoch 300, Loss Total: 56.31097412109375, Loss Train: 2.7587633667280897e-05, Loss Test: 22.240097045898438
Epoch 400, Loss Total: 56.3393440246582, Loss Train: 2.7587559088715352e-05, Loss Test: 22.240373611450195
Epoch 500, Loss Total: 56.348392486572266, Loss Train: 2.7587582735577598e-05, Loss Test: 22.240474700927734
Epoch 600, Loss Total: 56.35206604003906, Loss Train: 2.758759364951402e-05, Loss Test: 22.240520477294922
Epoch 700, Loss Total: 56.35374069213867, Loss Train: 2.758759364951402e-05, Loss Test: 22.240541458129883
Epoch 800, Loss Total: 56.35455322265625, Loss Train: 2.758759364951402e-05, Loss Test: 22.240550994873047
Epoch 900, Loss Total: 56.35496139526367, Loss Train: 2.758759364951402e-05, Loss Test: 22.240556716918945
Epoch 1000, Loss Total: 56.35516357421875, Loss Train: 2.758759364951402e-05, Loss Test: 22.24056053161621
Epoch 1100, Loss Total: 56.35526657104492, Loss Train: 2.758759364951402e-05, Loss Test: 22.24056053161621
Epoch 1200, Loss Total: 56.355323791503906, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 1300, Loss Total: 56.35535430908203, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 1400, Loss Total: 56.3553581237793, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 1500, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 1600, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 1700, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 1800, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 1900, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 2000, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 2100, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 2200, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 2300, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 2400, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 2500, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 2600, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 2700, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 2800, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 2900, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 3000, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 3100, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 3200, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 3300, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 3400, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 3500, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 3600, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 3700, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 3800, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
Epoch 3900, Loss Total: 56.355369567871094, Loss Train: 2.758759364951402e-05, Loss Test: 22.240562438964844
