Running task 137 with seed=15 and percentage=0.20
Epoch 0, Loss Total: 84.20886993408203, Loss Train: 134.6461639404297, Loss Test: 130.7168426513672
Epoch 100, Loss Total: 50.30217742919922, Loss Train: 48.075538635253906, Loss Test: 83.74189758300781
Epoch 200, Loss Total: 34.237648010253906, Loss Train: 22.25990104675293, Loss Test: 50.96897506713867
Epoch 300, Loss Total: 30.071138381958008, Loss Train: 11.89002799987793, Loss Test: 35.265342712402344
Epoch 400, Loss Total: 30.936473846435547, Loss Train: 7.0706892013549805, Loss Test: 27.58934783935547
Epoch 500, Loss Total: 33.77879333496094, Loss Train: 4.645218849182129, Loss Test: 23.696229934692383
Epoch 600, Loss Total: 37.2244873046875, Loss Train: 3.3594608306884766, Loss Test: 21.631250381469727
Epoch 700, Loss Total: 40.65435791015625, Loss Train: 2.6549007892608643, Loss Test: 20.476726531982422
Epoch 800, Loss Total: 43.804115295410156, Loss Train: 2.26236891746521, Loss Test: 19.799495697021484
Epoch 900, Loss Total: 46.57643127441406, Loss Train: 2.042480230331421, Loss Test: 19.390012741088867
Epoch 1000, Loss Total: 48.952964782714844, Loss Train: 1.9191582202911377, Loss Test: 19.140058517456055
Epoch 1100, Loss Total: 50.95471954345703, Loss Train: 1.849786400794983, Loss Test: 18.988483428955078
Epoch 1200, Loss Total: 52.622642517089844, Loss Train: 1.8104541301727295, Loss Test: 18.898168563842773
Epoch 1300, Loss Total: 54.00638961791992, Loss Train: 1.787887454032898, Loss Test: 18.845468521118164
Epoch 1400, Loss Total: 55.15613555908203, Loss Train: 1.7747328281402588, Loss Test: 18.8153018951416
Epoch 1500, Loss Total: 56.11797332763672, Loss Train: 1.7668601274490356, Loss Test: 18.798219680786133
Epoch 1600, Loss Total: 56.930686950683594, Loss Train: 1.7621303796768188, Loss Test: 18.788082122802734
Epoch 1700, Loss Total: 57.625823974609375, Loss Train: 1.7592155933380127, Loss Test: 18.78152847290039
Epoch 1800, Loss Total: 58.22749328613281, Loss Train: 1.7573800086975098, Loss Test: 18.776363372802734
Epoch 1900, Loss Total: 58.75422668457031, Loss Train: 1.7562159299850464, Loss Test: 18.771625518798828
Epoch 2000, Loss Total: 59.219783782958984, Loss Train: 1.7554064989089966, Loss Test: 18.766685485839844
Epoch 2100, Loss Total: 59.63467788696289, Loss Train: 1.754903793334961, Loss Test: 18.761432647705078
Epoch 2200, Loss Total: 60.00709533691406, Loss Train: 1.7545331716537476, Loss Test: 18.75586700439453
Epoch 2300, Loss Total: 60.324127197265625, Loss Train: 1.7542935609817505, Loss Test: 18.750520706176758
Epoch 2400, Loss Total: 60.47397994995117, Loss Train: 1.7541989088058472, Loss Test: 18.74772834777832
Epoch 2500, Loss Total: 60.553062438964844, Loss Train: 1.754151701927185, Loss Test: 18.746196746826172
Epoch 2600, Loss Total: 60.602176666259766, Loss Train: 1.7541260719299316, Loss Test: 18.745235443115234
Epoch 2700, Loss Total: 60.62777328491211, Loss Train: 1.7541124820709229, Loss Test: 18.74472427368164
Epoch 2800, Loss Total: 60.64126968383789, Loss Train: 1.7541075944900513, Loss Test: 18.744461059570312
Epoch 2900, Loss Total: 60.64836502075195, Loss Train: 1.7541056871414185, Loss Test: 18.744314193725586
Epoch 3000, Loss Total: 60.652103424072266, Loss Train: 1.7541046142578125, Loss Test: 18.744232177734375
Epoch 3100, Loss Total: 60.654083251953125, Loss Train: 1.7541042566299438, Loss Test: 18.744186401367188
Epoch 3200, Loss Total: 60.655128479003906, Loss Train: 1.7541042566299438, Loss Test: 18.74416160583496
Epoch 3300, Loss Total: 60.655670166015625, Loss Train: 1.7541042566299438, Loss Test: 18.74414825439453
Epoch 3400, Loss Total: 60.65595245361328, Loss Train: 1.7541042566299438, Loss Test: 18.744140625
Epoch 3500, Loss Total: 60.65608596801758, Loss Train: 1.7541042566299438, Loss Test: 18.7441349029541
Epoch 3600, Loss Total: 60.656158447265625, Loss Train: 1.7541042566299438, Loss Test: 18.74413299560547
Epoch 3700, Loss Total: 60.656185150146484, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 3800, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 3900, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 4000, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 4100, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 4200, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 4300, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 4400, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 4500, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 4600, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 4700, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 4800, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 4900, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 5000, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 5100, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 5200, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 5300, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 5400, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 5500, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 5600, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 5700, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 5800, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 5900, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 6000, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 6100, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 6200, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 6300, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 6400, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 6500, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 6600, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 6700, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 6800, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 6900, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 7000, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 7100, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 7200, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 7300, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 7400, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 7500, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 7600, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 7700, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 7800, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 7900, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 8000, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 8100, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 8200, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 8300, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 8400, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 8500, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 8600, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 8700, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 8800, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 8900, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 9000, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 9100, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 9200, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 9300, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 9400, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 9500, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 9600, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 9700, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 9800, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 9900, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
Epoch 10000, Loss Total: 60.65618896484375, Loss Train: 1.7541042566299438, Loss Test: 18.744131088256836
